Date,Title
"April 30, 2022","The Severe Multi-Day October 2019 Snow Storm Over Southern Manitoba, Canada"
"July 5, 2022",Retrievals of ice microphysical properties using dual-wavelength polarimetric radar observations during stratiform precipitation events
"October 15, 2022",A multiyear radar-based climatology of supercell thunderstorms in central-eastern Argentina
"May 24, 2022",The development of an unsupervised hierarchical clustering analysis of dual‐polarization weather surveillance radar observations to assess nocturnal insect …
"May 27,2022","Polarimetric Size Sorting Signatures in the Convective Regions of Mesoscale Convective Systems in PECAN: Implications on Kinematics, Thermodynamics, and …"
"May 16, 2022",GPM Ground Validation at NASA Wallops Precipitation Research Facility
"February 1, 2022",The Influence of WSR-88D Intra-Volume Scanning Strategies on Thunderstorm Observations and Warnings in the Dual-Polarization Radar Era: 2011–20
"February 25, 2022",Nowcasting thunderstorm hazards using machine learning: the impact of data sources on performance
"June 15, 2022","A case study of a severe hailstorm in Mendoza, Argentina, during the RELAMPAGO-CACTI field campaign"
"April 1, 2022",New WMO Certified Megaflash Lightning Extremes for Flash Distance and Duration Recorded from Space
"April 19, 2022",A Polarimetric Radar Operator and Application for Convective Storm Simulation
"May 2, 2022",Modeling impacts of ice-nucleating particles from marine aerosols on mixed-phase orographic clouds during 2015 ACAPEX field campaign
"May 1, 2022","Deep Convection Initiation, Growth, and Environments in the Complex Terrain of Central Argentina during CACTI"
"May 1, 2022",Scan-by-Scan Storm-Motion Deviations for Concurrent Tornadic and Nontornadic Supercells
April 1. 2022,A Multi-Platform In Situ Kinematic and Microphysical Analysis of a Hybrid Parallel–Trailing Stratiform Mesoscale Convective System
"April 1, 2022",Supercell Thunderstorm Charge Structure Variability and Influences on Spatial Lightning Flash Relationships with the Updraft
"July 10, 2022",Repurposing open‐source data from weather radars to reduce the costs of aerial waterbird surveys
"March 31, 2022",Evaluation of cloud and precipitation processes in regional and global models with ULTIMATE (ULTra-sIte for Measuring Atmosphere of Tokyo metropolitan …
"March 1, 2022",Evaluation of convective cloud microphysics in numerical weather prediction models with dual-wavelength polarimetric radar observations: methods and …
"May 1, 2022",Impact of Assimilating Ground-Based and Airborne Radar Observations for the Analysis and Prediction of the Eyewall Replacement Cycle of Hurricane Matthew (2016 …
"February 21, 2022","Three-way calibration checks using ground-based, ship-based, and spaceborne radars"
"March 22, 2022",Detecting wave features in Doppler radial velocity radar observations
"March 21, 2022",Overview of a Decade of Field Experiments with the Atmospheric Imaging Radar
"May 20, 2022",Image Muting of Mixed Precipitation to Improve Identification of Regions of Heavy Snow in Radar Data
"March 31, 2022",Three-Dimensional Thermodynamic Observations in Supercell Thunderstorms from Swarms of Balloon-Borne Sondes
"May 1, 2022",Observations and Simulations of a Multistatic Weather Radar Network
"May 1, 2021",Convective-storm environments in subtropical South America from high-frequency soundings during RELAMPAGO-CACTI
"June 1, 2021",A synoptic evolution comparison of the smallest and largest MCSs in subtropical South America between spring and summer
"February 1, 2022",High-Resolution NWP Forecast Precipitation Comparison over Complex Terrain of the Sierras de Córdoba during RELAMPAGO-CACTI
"August 1, 2021",A storm safari in subtropical South America: Proyecto RELAMPAGO
"December 15, 2021",A rapid refresh ensemble based data assimilation and forecast system for the RELAMPAGO field campaign
"August 1, 2021",Utilizing a storm-generating hotspot to study convective cloud transitions: The CACTI experiment
"August 1, 2021",The Flexible Array of Radars and Mesonets (FARM)
"May 1, 2021",From groundwater to the atmosphere: using RELAMPAGO observations and modeling to understand changes in the hydrologic cycle of southeastern South America
"February 1, 2021",An Automated Python Algorithm to Quantify  Z  DR Arc and  K  DP –  Z  DRSeparation …
"March 1, 2021",Cold pool characteristics of tornadic quasi-linear convective systems and other convective modes observed during VORTEX-SE
"January 1, 2021",A new method for ice–ice aggregation in the adaptive habit model
"June 1, 2021",A random-forest model to assess predictor importance and nowcast severe storms using high-resolution radar–GOES satellite–lightning observations
